filename,timestamp,polarity
180821_Smp_MS5C115m_B.mzML,2018-08-24T00:01:15Z,neg
180821_Smp_MS5C115m_C.mzML,2018-08-25T10:31:55Z,neg
180821_Smp_MS5C1175m_A.mzML,2018-08-23T17:45:26Z,neg
180821_Smp_MS5C1175m_B.mzML,2018-08-25T13:03:27Z,neg
180821_Smp_MS5C1175m_C.mzML,2018-08-31T13:01:38Z,neg
180821_Smp_MS5C1DCM_A.mzML,2018-08-28T10:06:33Z,neg
180821_Smp_MS5C1DCM_B.mzML,2018-08-22T15:39:42Z,neg
180821_Smp_MS5C1DCM_C.mzML,2018-08-30T10:55:59Z,neg
180821_Smp_MS6C315m_A.mzML,2018-08-24T21:03:50Z,neg
180821_Smp_MS6C315m_B.mzML,2018-08-26T00:50:31Z,neg
180821_Smp_MS6C315m_C.mzML,2018-08-25T14:44:28Z,neg
180821_Smp_MS6C3175m_A.mzML,2018-08-31T11:20:39Z,neg
180821_Smp_MS6C3175m_B.mzML,2018-08-29T15:34:17Z,neg
180821_Smp_MS6C3175m_C.mzML,2018-08-22T17:20:41Z,neg
180821_Smp_MS6C3DCM_A.mzML,2018-08-24T10:57:46Z,neg
180821_Smp_MS6C3DCM_B.mzML,2018-08-24T00:51:41Z,neg
180821_Smp_MS6C3DCM_C.mzML,2018-08-28T11:47:32Z,neg
180821_Smp_MS7C115m_A.mzML,2018-08-26T06:44:04Z,neg
180821_Smp_MS7C115m_B.mzML,2018-08-22T18:11:14Z,neg
180821_Smp_MS7C115m_C.mzML,2018-08-25T19:47:31Z,neg
180821_Smp_MS7C1175m_A.mzML,2018-08-25T08:00:25Z,neg
180821_Smp_MS7C1175m_B.mzML,2018-08-24T02:32:41Z,neg
180821_Smp_MS7C1175m_C.mzML,2018-08-24T12:38:49Z,neg
180821_Smp_MS7C1DCM_A.mzML,2018-08-26T04:12:33Z,neg
180821_Smp_MS7C1DCM_B.mzML,2018-08-25T07:09:58Z,neg
180821_Smp_MS7C1DCM_C.mzML,2018-08-28T17:41:05Z,neg
180821_Smp_MS8C115m_A.mzML,2018-08-25T18:06:29Z,neg
180821_Smp_MS8C115m_B.mzML,2018-08-24T03:23:11Z,neg
180821_Smp_MS8C115m_C.mzML,2018-08-30T15:58:59Z,neg
180821_Smp_MS8C1175m_A.mzML,2018-08-30T06:43:25Z,neg
180821_Smp_MS8C1175m_B.mzML,2018-08-29T07:59:45Z,neg
180821_Smp_MS8C1175m_C.mzML,2018-08-30T08:24:25Z,neg
180821_Smp_MS8C1DCM_A.mzML,2018-08-31T15:33:10Z,neg
180821_Smp_MS8C1DCM_B.mzML,2018-08-30T11:46:28Z,neg
180821_Smp_MS8C1DCM_C.mzML,2018-08-22T19:52:15Z,neg
180821_Smp_MS9C215m_A.mzML,2018-08-26T01:41:03Z,neg
