feature,mzmed,rtmed,compound_name,structure,class,cruise,polarity
FT0895,168.02913512087486,11.205736287434895,"2,3-Pyridinedicarboxylic acid",NA,NA,FK,pos
FT0896,168.05062437602842,6.312502034505209,NA,NA,NA,FK,pos
FT0912,170.06833897175096,15.214851888020831,NA,NA,NA,FK,pos
FT0913,171.0651611919664,2.377432378133138,NA,NA,NA,FK,pos
FT0917,171.08441226564733,3.1813151041666665,NA,NA,NA,FK,pos
FT0922,173.0921803989668,6.8968645731608085,NA,NA,NA,FK,pos
FT0924,174.02199738371078,4.4801485697428385,NA,NA,NA,FK,pos
FT0925,174.03874957132956,6.729422760009766,NA,NA,NA,FK,pos
FT0926,175.1077667695207,6.81224365234375,NA,NA,NA,FK,pos
FT0927,175.119036066026,16.72916259765625,L-Arginine,NA,NA,FK,pos
FT0928,176.05537516822213,11.144624837239585,Succinylglycine,NA,NA,FK,pos
FT0931,176.1281554512251,8.996378580729166,NA,NA,NA,FK,pos
FT0932,176.12819651087682,7.492479705810547,NA,NA,NA,FK,pos
FT0934,177.03615427112325,6.729532877604167,NA,NA,NA,FK,pos
FT0939,179.07372487712672,8.266624959309896,Gonyol,NA,NA,FK,pos
FT0940,180.00807379362794,5.638526407877604,NA,NA,NA,FK,pos
FT0944,180.07693807782186,9.392179870605467,NA,NA,NA,FK,pos
FT0945,180.08664392684491,8.938519287109376,Glucosamine,NA,NA,FK,pos
FT0946,180.10195010548102,6.915293375651042,NA,NA,NA,FK,pos
FT0965,181.0693881646876,9.392179870605467,NA,NA,NA,FK,pos
FT0966,182.01474988019365,5.562275187174479,NA,NA,NA,FK,pos
FT0994,182.0672799940619,5.517046356201172,NA,NA,NA,FK,pos
FT0996,182.08122430634563,7.990095520019532,L-Tyrosine,NA,NA,FK,pos
FT0997,182.1176334606898,2.295657857259114,NA,NA,NA,FK,pos
FT1020,184.03027734133008,9.62679189046224,NA,NA,NA,FK,pos
FT1050,189.07572857978536,2.3772691090901694,NA,NA,NA,FK,pos
FT1054,189.12336945947243,6.985976155598959,N6-Acetyl-L-lysine,NA,NA,FK,pos
FT1058,190.07101952018328,10.658884175618487,N-Acetyl-L-glutamic acid,NA,NA,FK,pos
FT1059,190.12666841148183,7.923082224527994,NA,NA,NA,FK,pos
FT1061,190.16300575734823,14.020567830403646,NA,NA,NA,FK,pos
FT1063,193.05306230832997,9.707369995117189,NA,NA,NA,FK,pos
FT1064,193.0895156314959,8.262836201985676,NA,NA,NA,FK,pos
FT1066,193.15485655046564,5.666852823893229,NA,NA,NA,FK,pos
FT1069,194.0927244905136,7.660161336263021,NA,NA,NA,FK,pos
FT1073,196.08296607334125,4.069387181599935,NA,NA,NA,FK,pos
FT1087,198.0986240516091,4.871315002441406,NA,NA,NA,FK,pos
FT1088,198.18531840401369,1.8105092366536464,NA,NA,NA,FK,pos
FT1120,204.08676796959924,6.552527364095052,NA,NA,NA,FK,pos
FT1121,204.0867420318876,1.8391181310017903,NA,NA,NA,FK,pos
FT1132,205.07078529782115,9.732530721028644,NA,NA,NA,FK,pos
FT1133,205.07071260881375,9.216480509440103,NA,NA,NA,FK,pos
FT1134,205.1263396702933,5.785784149169922,NA,NA,NA,FK,pos
FT1140,206.13880600056393,5.1447191874186196,Dexpanthenol,NA,NA,FK,pos
FT1142,207.0615406957719,5.5139620463053385,NA,NA,NA,FK,pos
FT1144,207.141972050479,2.3772555033365887,NA,NA,NA,FK,pos
FT1145,207.15915327913615,1.788470458984375,NA,NA,NA,FK,pos
FT1151,209.04794989523495,9.915108235677083,NA,NA,NA,FK,pos
FT1156,209.08445276662016,6.671580251057943,NA,NA,NA,FK,pos
FT1181,217.1071012412719,1.7274002075195312,NA,NA,NA,FK,pos
FT1187,218.13877908920068,9.775421651204429,O-Propionylcarnitine,NA,NA,FK,pos
FT1193,219.14195243518827,4.2970329284667965,NA,NA,NA,FK,pos
FT1195,220.0815569699776,2.49924799601237,O-Succinylhomoserine?,NA,NA,FK,pos
FT1196,220.1179860254383,1.7271953582763675,NA,NA,NA,FK,pos
FT1201,222.0972596871916,9.69153849283854,N-Acetyl-D-glucosamine,NA,NA,FK,pos
FT1202,223.05639296597317,12.024099222819013,NA,NA,NA,FK,pos
FT1203,223.05639219213424,11.532103474934896,NA,NA,NA,FK,pos
FT1204,223.0938208638259,5.415281168619791,NA,NA,NA,FK,pos
FT1217,226.1802235324991,1.862356758117676,NA,NA,NA,FK,pos
FT1235,227.11391956325664,11.081708272298178,Carnosine,NA,NA,FK,pos
FT1236,227.11381951661735,10.579606628417968,NA,NA,NA,FK,pos
FT1237,227.9804059394254,7.541457112630209,NA,NA,NA,FK,pos
FT1240,230.09577324695033,9.493140157063802,Ergothioneine,NA,NA,FK,pos
FT1241,230.99516882576108,13.13610585530599,NA,NA,NA,FK,pos
FT1242,232.11797847028544,8.37045923868815,NA,NA,NA,FK,pos
FT1263,234.13360445266255,1.6918732325236003,NA,NA,NA,FK,pos
FT1286,236.1492688213607,8.617018636067709,NA,NA,NA,FK,pos
FT1287,236.14933396526897,6.830007934570312,NA,NA,NA,FK,pos
FT1297,238.1072978360055,2.312405014038086,NA,NA,NA,FK,pos
FT1314,239.14896437312365,1.9856194814046224,NA,NA,NA,FK,pos
FT1315,241.1294448633912,9.167150370279948,Anserine,NA,NA,FK,pos
FT1316,241.1295197224959,9.688013712565104,NA,NA,NA,FK,pos
FT1323,244.09285587629577,6.507144165039063,Cytidine,NA,NA,FK,pos
FT1325,244.19088166102088,1.8628686269124348,NA,NA,NA,FK,pos
FT1334,246.09721834947712,8.211125691731771,NA,NA,NA,FK,pos
FT1335,246.09719901218497,7.6400400797526045,NA,NA,NA,FK,pos
FT1336,246.11655755901663,9.400060017903646,NA,NA,NA,FK,pos
FT1338,248.11292112401688,1.6925063451131188,NA,NA,NA,FK,pos
FT1339,248.11288092327283,2.258401616414388,NA,NA,NA,FK,pos
FT1340,250.0175210766197,13.14728495279948,NA,NA,NA,FK,pos
FT1341,250.1285362150708,1.8835472742716477,NA,NA,NA,FK,pos
FT1342,250.12851230772372,2.3772691090901694,NA,NA,NA,FK,pos
FT1358,252.10774873171772,9.40624491373698,Deoxyadenosine/Muramic acid,NA,NA,FK,pos
FT1370,253.11241031533743,3.0360198974609376,NA,NA,NA,FK,pos
FT1371,253.14755582937931,9.241301472981773,NA,NA,NA,FK,pos
FT1372,255.09098665020736,4.9484807332356775,NA,NA,NA,FK,pos
FT1374,259.11342175882356,9.637239583333333,NA,NA,NA,FK,pos
FT1381,260.1128610431599,2.474880345662435,NA,NA,NA,FK,pos
FT1382,260.1644915728591,1.7939390818277992,2-Heptyl-3-hydroxy-quinolone,NA,NA,FK,pos
FT1384,262.128406911708,8.712959798177083,O-Methylmalonyl-L-carnitine,NA,NA,FK,pos
FT1393,266.12341915194565,6.7522529602050785,NA,NA,NA,FK,pos
FT1418,269.0881063910641,6.039759318033855,Inosine,NA,NA,FK,pos
FT1419,269.1053179802186,9.52671407063802,NA,NA,NA,FK,pos
FT1421,269.10749099240746,3.584732818603516,NA,NA,NA,FK,pos
FT1423,273.089052430583,3.5360036214192707,NA,NA,NA,FK,pos
FT1442,276.1078337114158,6.430957285563151,NA,NA,NA,FK,pos
FT1448,278.9614070196754,13.155374145507812,NA,NA,NA,FK,pos
FT1450,284.0989128715262,7.489156087239583,Guanosine,NA,NA,FK,pos
FT1451,285.1444530824209,6.7797503153483065,NA,NA,NA,FK,pos
FT1452,286.1133578848869,10.006781514485676,NA,NA,NA,FK,pos
FT1454,289.1393181084616,8.942589314778646,NA,NA,NA,FK,pos
FT1456,290.13459116642616,9.914917500813802,Ophthalmic acid,NA,NA,FK,pos
FT1462,292.13894513480443,1.953350830078125,NA,NA,NA,FK,pos
FT1471,292.94195334532145,13.158943684895831,NA,NA,NA,FK,pos
FT1472,294.1182670900006,6.430957285563151,N-Acetylmuramic acid,NA,NA,FK,pos
FT1473,294.15458714381157,2.0167702356974284,NA,NA,NA,FK,pos
FT1474,294.9751057953691,13.142861938476562,NA,NA,NA,FK,pos
FT1475,295.128797569174,7.907201131184896,Glutamylphenylalanine,NA,NA,FK,pos
FT1512,300.0924271121197,2.4093783060709635,NA,NA,NA,FK,pos
