"station","chl_ug","phaeo_ug","cast","rosette","cruise"
"L2",0.0637,0.0405,19,9,"MC"
"L2",0.2145,0.6452,20,5,"MC"
"L2",0.0582,0.0536,20,16,"MC"
"L2",0.2275,0.6393,21,9,"MC"
"L2",0.057,0.0573,21,18,"MC"
"L2",0.0202,0.0514,23,1,"MC"
"L2",0.0764,0.1699,23,2,"MC"
"L2",0.1804,0.5064,23,3,"MC"
"L2",0.1788,0.5247,23,4,"MC"
"L2",0.1918,0.5117,23,5,"MC"
"L2",0.2113,0.6177,23,6,"MC"
"L2",0.2129,0.6137,23,7,"MC"
"L2",0.2162,0.5773,23,8,"MC"
"L2",0.2048,0.3044,23,9,"MC"
"L2",0.2064,0.3075,23,10,"MC"
"L2",0.2097,0.3303,23,11,"MC"
"L2",0.1284,0.125,23,12,"MC"
"L2",0.1349,0.1304,23,13,"MC"
"L2",0.1333,0.1296,23,14,"MC"
"L2",0.0696,0.0545,23,15,"MC"
"L2",0.0644,0.0545,23,16,"MC"
"L2",0.0613,0.0498,23,17,"MC"
"L2",0.054,0.0446,23,18,"MC"
"L2",0.0557,0.0399,23,19,"MC"
"L2",0.0531,0.0414,23,20,"MC"
"L2",0.0531,0.0352,23,21,"MC"
"L2",0.0544,0.0365,23,22,"MC"
"L2",0.0567,0.0404,23,23,"MC"
"L2",0.2145,0.5528,24,1,"MC"
"L2",0.0544,0.0422,24,9,"MC"
"L2",0.1869,0.6539,25,1,"MC"
"L2",0.0671,0.0511,25,10,"MC"
"L2",0.2503,0.6592,26,6,"MC"
"L2",0.0715,0.0561,26,17,"MC"
"L2",0.2389,0.6208,27,1,"MC"
"L2",0.0735,0.0506,27,9,"MC"
"L2",0.2227,0.6395,29,1,"MC"
"L2",0.0766,0.0653,29,9,"MC"
"L2",0.1999,0.5769,30,1,"MC"
"L2",0.0668,0.0542,30,9,"MC"
"L2",0.221,0.6458,31,1,"MC"
"L2",0.0727,0.0576,31,10,"MC"
"13",0.05323,0.03527,2,23,"MT"
