"cruise","station","cast","rosette","pressure"
"FK","50",1,4,111.1
"FK","50",1,3,126.1
"FK","50",1,2,155
"FK","50",1,1,250.4
"FK","51",1,12,4.1
"FK","51",1,11,5.6
"FK","51",1,10,4.4
"FK","51",1,9,14.4
"FK","51",1,8,49.5
"FK","51",1,7,74.4
"FK","51",1,6,75.3
"FK","51",1,5,100.2
"FK","51",1,4,100.5
"FK","51",1,3,109.9
"FK","51",1,2,110.1
"FK","51",1,1,251.6
"FK","52",1,10,5
"FK","52",1,9,5.3
"FK","52",1,8,75.3
"FK","52",1,7,75.3
"FK","52",1,6,99.7
"FK","52",1,5,98.7
"FK","52",1,4,99.8
"FK","52",1,3,101
"FK","52",1,2,120.9
"FK","52",1,1,120.4
"FK","53",1,17,5.2
"FK","53",1,16,4.5
"FK","53",1,15,5.2
"FK","53",1,14,15.1
"FK","53",1,13,50.5
"FK","53",1,12,50.7
"FK","53",1,11,50.5
"FK","53",1,10,75.5
"FK","53",1,9,74.9
"FK","53",1,8,100.1
"FK","53",1,7,99.8
"FK","53",1,6,110
"FK","53",1,5,109.1
"FK","53",1,4,109.5
"FK","53",1,3,109.2
"FK","53",1,2,108.7
"FK","53",1,1,249.6
"FK","54",1,10,5.5
"FK","54",1,9,4.9
"FK","54",1,8,74.3
"FK","54",1,7,75.2
"FK","54",1,6,101.1
"FK","54",1,5,100.1
"FK","54",1,4,110.7
"FK","54",1,3,110
"FK","54",1,2,125.4
"FK","54",1,1,125.4
"FK","55",1,24,5.5
"FK","55",1,23,5.2
"FK","55",1,22,5
"FK","55",1,21,5.1
"FK","55",1,20,24.9
"FK","55",1,19,25.7
"FK","55",1,18,25.9
"FK","55",1,17,46.1
"FK","55",1,16,45.9
"FK","55",1,15,45.6
"FK","55",1,14,46.1
"FK","55",1,13,75.4
"FK","55",1,12,75.1
"FK","55",1,11,73.9
"FK","55",1,10,74.2
"FK","55",1,9,74.3
"FK","55",1,8,99.8
"FK","55",1,7,99.7
"FK","55",1,6,100.1
"FK","55",1,5,99.6
"FK","55",1,4,99.5
"FK","55",1,3,124.9
"FK","55",1,2,125.9
"FK","55",1,1,125.2
"FK","56",1,23,5.2
"FK","56",1,22,4.9
"FK","56",1,21,4.5
"FK","56",1,20,5
"FK","56",1,19,15.7
"FK","56",1,18,15
"FK","56",1,17,26.2
"FK","56",1,16,26.2
"FK","56",1,15,26.1
"FK","56",1,14,26.1
