"cruise","station","cast","rosette","pressure","temp","sal","theta","dic","alk","ph","oxy_um","het_abund","pro_abund","syn_abund","euk_abund"
"FK","36",1,19,4.7,24.184,35.158,24.183,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,18,25.2,22.774,35.137,22.769,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,17,25.2,22.776,35.137,22.771,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,16,46.7,22.694,35.162,22.685,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,15,46.7,22.694,35.162,22.685,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,14,75,22.497,35.185,22.482,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,13,74.8,22.499,35.185,22.484,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,12,75.1,22.495,35.185,22.48,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,11,75,22.497,35.185,22.482,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,10,100.7,21.112,35.161,21.093,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,9,101,21.095,35.159,21.076,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,8,100.6,21.115,35.161,21.096,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,7,100.4,21.125,35.162,21.106,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,6,125,20.225,35.075,20.202,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,5,124.5,20.229,35.076,20.206,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,4,150.6,18.944,34.948,18.917,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,3,150.7,18.944,34.948,18.917,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,2,175.2,17.204,34.704,17.175,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,1,175.7,17.171,34.699,17.142,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,16,5.3,23.502,35.151,23.501,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,15,5.3,23.502,35.151,23.501,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,14,5.3,23.502,35.151,23.501,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,13,14.8,23.139,35.122,23.136,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,12,25.5,22.853,35.123,22.848,NA,NA,NA,NA,NA,NA,NA,NA
