"filename","timestamp"
"190715_Smp_FK180310S64C1-25m_B.mzML",2019-07-19 01:07:51
"190715_Smp_FK180310S64C1-25m_C.mzML",2019-07-19 06:10:51
"190715_Smp_FK180310S64C1-DCM_A.mzML",2019-07-19 03:39:21
"190715_Smp_FK180310S64C1-DCM_B.mzML",2019-07-20 05:07:23
"190715_Smp_FK180310S64C1-DCM_C.mzML",2019-07-20 02:35:48
"190715_Smp_FK180310S77C1-25m_A.mzML",2019-07-19 20:42:18
"190715_Smp_FK180310S77C1-25m_B.mzML",2019-07-19 14:35:56
"190715_Smp_FK180310S77C1-25m_C.mzML",2019-07-19 08:42:23
"190715_Smp_FK180310S77C1-DCM_A.mzML",2019-07-18 21:45:48
"190715_Smp_FK180310S77C1-DCM_B.mzML",2019-07-18 22:36:19
"190715_Smp_FK180310S77C1-DCM_C.mzML",2019-07-19 23:13:50
"190715_Smp_FK180310S80C1-25m_A.mzML",2019-07-19 21:32:50
"190715_Smp_FK180310S80C1-25m_B.mzML",2019-07-18 19:14:20
"190715_Smp_FK180310S80C1-25m_C.mzML",2019-07-19 05:20:20
"190715_Smp_FK180310S80C1-DCM_A.mzML",2019-07-19 16:16:55
"190715_Smp_FK180310S80C1-DCM_B.mzML",2019-07-19 19:01:18
"190715_Smp_FK180310S80C1-DCM_C.mzML",2019-07-19 13:45:25
"190715_Std_4uMStdsMix1InH2O_1.mzML",2019-07-12 21:04:31
"190715_Std_4uMStdsMix1InH2O_2.mzML",2019-07-18 03:14:41
"190715_Std_4uMStdsMix1InMatrix_1.mzML",2019-07-12 22:45:31
"190715_Std_4uMStdsMix1InMatrix_2.mzML",2019-07-18 04:55:40
"190715_Std_4uMStdsMix2InH2O_1.mzML",2019-07-12 21:55:02
"190715_Std_4uMStdsMix2InH2O_2.mzML",2019-07-18 04:05:12
"190715_Std_4uMStdsMix2InMatrix_1.mzML",2019-07-12 23:36:01
"190715_Std_4uMStdsMix2InMatrix_2.mzML",2019-07-18 05:46:11
"190715_Std_H2OinMatrix_1.mzML",2019-07-12 20:14:01
"190715_Std_H2OinMatrix_2.mzML",2019-07-18 02:24:10
