"cruise","station","cast","rosette","abs_depth","no23_um","po4_um","DON_um","DOP_um","si_um"
"MT","6",1,5,175,0.300655339762681,0.0890178324695694,4.48421029494904,0.131079320755141,2.03191642383001
"MT","6",1,4,200,0.685693765879485,0.123373992062716,4.34992216145582,0.127024070002807,2.19609300126689
"MT","6",1,3,250,2.08154029185285,0.221090430803542,3.92968729639548,0.0881947019319755,5.14715941976886
"MT","6",1,1,500,20.6909985035464,1.49293417201769,2.98094242244344,NA,27.6304648248604
"MT","7",2,5,15,NA,0.0395237709294347,NA,NA,NA
"MT","7",2,2,140,NA,0.110626836219574,NA,NA,NA
"MT","7",3,24,5,0.00160982615529992,0.0439379251111032,4.94486982821348,0.207935227873846,1.54191533151745
"MT","7",3,23,15,0.00189883018473555,0.0397987716949568,4.73552538798855,0.195995402474689,1.57552774124815
"MT","7",3,20,45,0.00211571399664095,0.0337422163286838,4.92472103365739,0.191285219783487,1.55560699199491
"MT","7",3,17,75,0.00239857361012511,0.0301312417255,4.85468253853803,0.187828974732518,1.66507860166826
"MT","7",3,16,100,0.00202929529384021,0.0654855024643398,4.67139642156629,0.165505508787561,1.73100826405745
"MT","7",3,15,125,0.0176055615544609,0.0868643841733112,4.4354614239608,0.153895552283382,1.89981040246645
"MT","7",3,12,125,0.0204880034182039,0.106909357297835,4.45102814495783,0.152038516311147,1.86299093712842
"MT","7",3,9,150,0.735804028106794,0.124780891595565,4.20517015723548,0.129546313283961,2.17857754371915
"MT","7",3,8,175,0.552185349503755,0.107369139500125,4.28671786042623,0.139185560000133,2.22261288417367
"MT","7",3,5,200,1.08166563393689,0.152944910742189,4.11844236640723,0.116677486623572,2.61553887021814
"MT","7",3,2,250,4.02840911784353,0.376536364518621,3.87622849874342,NA,6.59799666524543
"MT","7",3,1,500,20.2484057748202,1.47071920325848,3.07910830491425,NA,26.8498328409067
"MT","8",2,24,5,0.00364087132684798,0.0488785322524349,4.88062120419162,0.206472469815302,1.20294094557993
"MT","8",2,23,15,0.00393606306817837,0.0433089361115908,4.75363237120828,0.200493361142534,1.18111902858688
"MT","8",2,13,45,0.00515932500183607,0.0358929529076618,4.99960458722044,0.199179571116775,1.6708998322087
"MT","8",2,12,75,0.003171694837419,0.0343806494276153,4.84081332437635,0.187105984989823,1.37101964087764
"MT","8",2,11,100,0.00221695434402693,0.0657289052921459,4.57500717508469,0.165623252169949,1.43545030485555
"MT","8",2,10,110,0.00196899016454639,0.0734569450749904,4.50625500852528,0.167137552506474,1.55968252299415
"MT","8",2,8,125,0.567693631670648,0.135195958003974,4.28610739657099,0.137142938244594,1.90284371945482
"MT","8",2,7,150,1.28718023014425,0.164162236748283,4.08239968000618,0.117616867350623,3.41348372929769
"MT","8",2,5,175,1.15124345580545,0.15987426794866,3.99525825921314,0.121034693891578,2.44037241035053
"MT","8",2,4,200,2.09876254690765,0.230358927703078,4.00642400899625,0.101545499003833,5.8670567063856
"MT","8",2,3,250,4.50786188842333,0.393131387538744,3.54839754450082,NA,5.15522906486958
"MT","8",2,2,500,22.3547409599052,1.60571559619522,3.00379137784613,NA,28.478202278599
"MT","9",3,24,5,0.00175486534612559,0.0521857969918067,4.82713793625404,0.208233978046747,1.49559804765003
"MT","9",3,23,15,0.00192099836897092,0.0475495393663682,4.84336402248333,0.199440734006243,1.54247039883411
"MT","9",3,20,45,0.000887062039355102,0.0390480428890871,4.85262238839942,0.195114227038143,1.63609175290969
"MT","9",3,17,75,0.00347851826357955,0.0474939767756703,4.6523989842563,0.174410662573262,1.78744010791724
"MT","9",3,16,100,0.00900486959575892,0.0653435174814529,4.45101060683701,0.154215249540074,2.01557277506187
"MT","9",3,15,110,0.176362626233857,0.0850388629647652,4.41292709982679,0.152541279370261,1.78607831071116
"MT","9",3,12,125,0.7703619548807,0.138914196683368,4.31729163914344,0.133393062324322,2.24987506697085
"MT","9",3,9,150,1.43947334255187,0.180204637502118,3.96566975812682,0.10633693742506,3.26439467758246
"MT","9",3,8,175,2.73665232352971,0.263105367628169,3.66472197155759,0.106965278168493,3.47053765561735
"MT","9",3,5,200,3.55593157827868,0.308537963455674,3.83969901191945,0.10072361201632,4.88128584960835
"MT","9",3,2,250,7.01427854767809,0.548253659457332,3.62178697403013,NA,9.40708259662188
"MT","9",3,1,500,23.154877527803,1.67874546700363,2.98601996808848,NA,31.539995517077
"MT","10",1,24,5,0.00243833142071677,0.0434780146478253,5.3047794279566,0.203297402191025,1.62351022706554
"MT","10",1,23,15,0.00425653749039984,0.0419675386621038,4.79327248460736,0.198509093248264,1.61068200463621
"MT","10",1,14,45,0.00637128717454898,0.0373670039604947,4.56925205905734,0.195734217822688,1.63627677534857
"MT","10",1,13,75,0.00242216692936591,0.0596369024902536,4.81856351551947,0.184618360905294,1.77023302110098
"MT","10",1,12,100,0.00400737809369501,0.0912783158202353,4.49037350303182,0.157015731743361,1.95735238095954
"MT","10",1,10,123,0.501242553221337,0.128498794431888,4.28686019591287,0.14214472246163,2.17167003933413
"MT","10",1,8,125,0.624503949752912,0.128349201295951,4.24497696030752,0.133415369197436,2.24327372318245
"MT","10",1,7,150,1.25585466394883,0.165081801152864,3.99964592074081,0.111352986226639,2.85796455672358
"MT","10",1,5,175,1.91981795629749,0.193828184061295,3.84003333042933,0.104642011612275,3.24635719856565
"MT","10",1,4,200,1.86895744491005,0.205436969373214,4.1279322936962,0.10785619878563,3.5179405457501
"MT","10",1,3,250,6.0751173708081,0.465425663355127,3.52082994153042,0.0892522527821458,6.10107641430644
"MT","10",1,2,500,27.1712161330313,1.99387436158786,3.07022260003543,NA,39.6109147722851
"MT","11",1,24,5,0.00294085371165153,0.0440292299658712,5.13824193821853,0.209421603330358,1.24148678186395
"MT","11",1,23,15,0.00209347677566708,0.0382161542123126,4.68863113010599,0.200533407325826,1.23614010134714
"MT","11",1,20,45,0.00180676336193829,0.0269044972049517,4.99267509242425,0.187604277568276,1.37608635533961
"MT","11",1,17,75,0.0208680707257636,0.0425752112970882,5.09337268449759,0.167308398063677,3.91910651918456
"MT","11",1,16,100,0.00254219648760218,0.0645118911531153,4.42326946806445,0.155182828819051,4.38337159598444
"MT","11",1,15,110,0.0682704051156854,0.0882943757866722,4.41533762187417,0.1449459255046,4.55926201883733
"MT","11",1,12,125,0.741459486155017,0.129138827252059,3.73040770435129,0.134104809115718,2.6369226260706
"MT","11",1,9,150,4.14890363346526,0.393753479935573,3.49487303202499,0.0886389558051222,4.31418476061715
"MT","11",1,8,175,3.77276565412985,0.331992735849624,3.6345388873283,0.0954495519734285,5.00000882385256
"MT","11",1,5,200,5.66846382360563,0.462336164388614,3.52913648946277,0.079404728548179,6.32532760447378
"MT","11",1,2,250,9.48344168940527,0.692400854094882,3.4124222055252,NA,9.2270020954269
"MT","11",1,1,500,29.7501861919089,2.15111514708349,3.1633109368612,NA,47.433798620187
"MT","12",2,20,5,0.00150643572329664,0.0246015858680271,4.68910888969668,0.185859981559754,1.49489457007956
